patch_id,audit_row_number,deck,citizen_level,source_row,front,front_original,back_original,current_back,current_flags,docker_safe_back,docker_safe_flags,docker_final_back,docker_final_flags,recommended_choice,choice,custom_back,custom_flags,notes
BP0159,10314,Blue,6,164,להסתפר,להסתפר,to get a haircut,to get a haircut,needs_italian_review,farsi tagliare i capelli; farsi un taglio,,,missing_from_docker_final,docker_safe,,,,
BP0160,10315,Blue,6,165,להצטךף ל,להצטךף ל,to join,to join,needs_italian_review,unirsi; aderire; partecipare,,unirsi; aderire; partecipare,semantic_review,docker_safe,,,,
BP0161,10316,Blue,6,166,אתה בטח עייף/רעב,אתה בטח עייף/רעב,you must be tired/hungry (m.),you must be tired/hungry (m.),needs_italian_review,tu devi essere stanco/affamato (m.),,tu devi essere stanco/ affamato (m.),semantic_review,docker_safe,,,,
BP0162,10318,Blue,6,168,משטרה,משטרה,police,police,needs_italian_review,polizia (f.); agenti (m.),,polizia,,docker_safe,,,,
BP0163,10320,Blue,6,170,להסתיים,להסתיים,"to ""get"" finish","to ""get"" finish",needs_italian_review,finire; completare,,,missing_from_docker_final,docker_safe,,,,
BP0164,10321,Blue,6,171,"...מסמיים, מסחיימת","...מסמיים, מסחיימת","she is finishing, he is finishing (present)","she is finishing, he is finishing (present)",needs_italian_review,lui/lei sta finendo,,lui/ lei sta finendo,semantic_review,docker_safe,,,,
BP0165,10322,Blue,6,172,השיעור הסתיים,השיעור הסתיים,the lesson ended,the lesson ended,needs_italian_review,la lezione è finita,,la lezione è finita,semantic_review,docker_safe,,,,
BP0166,10323,Blue,6,173,הפגישה הסתיימה,הפגישה הסתיימה,the meeting ended,the meeting ended,needs_italian_review,la riunione è finita,,la riunione è finita,semantic_review,docker_safe,,,,
BP0167,10324,Blue,6,174,להתגעגע ל... (אל...),להתגעגע ל... (אל...),to miss (inf),to miss (inf),needs_italian_review,sentire la mancanza; rimpiangere,,mancare,,docker_safe,,,,
BP0168,10325,Blue,6,175,אני מתגעגע אליך,אני מתגעגע אליך,"I miss you (m.s,)","I miss you (m.s,)",needs_italian_review,mi manchi (m.s.),,mancare,,docker_safe,,,,
BP0169,10326,Blue,6,176,"מתגעגע, מתגעגעת, מתגעגעים, מתגעגעות","מתגעגע, מתגעגעת, מתגעגעים, מתגעגעות",miss (present tense),miss (present tense),needs_italian_review,sentire la mancanza di; rimpiangere,,mancare,,docker_safe,,,,
BP0170,10327,Blue,6,177,אשכרה,אשכרה,seriously?!,seriously?!,needs_italian_review,sul serio?!; davvero?!,,sul serio,,docker_safe,,,,
BP0171,10328,Blue,6,178,טבעת,טבעת,ring,ring,needs_italian_review,anello (m.); anella (f.); squillo (m.),,,missing_from_docker_final,docker_safe,,,,
BP0172,10329,Blue,6,179,מבחן,מבחן,"test, examination","test, examination",needs_italian_review,test (m.); esame (m.),,,missing_from_docker_final,docker_safe,,,,
BP0173,10331,Blue,6,181,לצלם,לצלם,to take a picture,to take a picture,needs_italian_review,fare una foto; scattare una fotografia,,,missing_from_docker_final,docker_safe,,,,
BP0174,10332,Blue,6,182,לקבל,לקבל,to receive,to receive,needs_italian_review,ricevere; accogliere,,,missing_from_docker_final,docker_safe,,,,
BP0175,10333,Blue,6,183,"יכולתי, יכולת, יכולת, יכול, יכולה, יכולנו, יכולתם, יכולתן, יכלו","יכולתי, יכולת, יכולת, יכול, יכולה, יכולנו, יכולתם, יכולתן, יכלו",could (past tense),could (past tense),needs_italian_review,potevo; potei; avrei potuto,,teso,,docker_safe,,,,
BP0176,10334,Blue,6,184,נוף,נוף,view,view,needs_italian_review,vista (f.); veduta (f.); opinione (f.),,,missing_from_docker_final,docker_safe,,,,
BP0177,10335,Blue,6,185,...להסתכל על,...להסתכל על,to look at (infinitive),to look at (infinitive),needs_italian_review,guardare; osservare,,guardare; osservare,semantic_review,docker_safe,,,,
BP0178,10336,Blue,6,186,"מסתכל, מסתכלת, מסתכלים, מסתכלות","מסתכל, מסתכלת, מסתכלים, מסתכלות",to look at (present tense),to look at (present tense),needs_italian_review,guardo; osservo,,teso,,docker_safe,,,,
BP0179,10337,Blue,6,187,ירח,ירח,moon,moon,needs_italian_review,luna (f.),,,missing_from_docker_final,docker_safe,,,,
BP0180,10338,Blue,6,188,שמיים,שמיים,sky,sky,needs_italian_review,cielo (m.); firmamento (m.),,,missing_from_docker_final,docker_safe,,,,
BP0181,10339,Blue,6,189,עליי,עליי,at/on/about me,at/on/about me,needs_italian_review,su di me; di me; riguardo a me,,su di me; di me; riguardo a me,semantic_review,docker_safe,,,,
BP0182,10340,Blue,6,190,עליך,עליך,at/on/about you (m sg),at/on/about you (m sg),needs_italian_review,su di te; di te; riguardo a te (m.),,su di te; di te; riguardo a te (m.),semantic_review,docker_safe,,,,
BP0183,10341,Blue,6,191,עלייך,עלייך,at/on/about you (f sg),at/on/about you (f sg),needs_italian_review,su di te; di te; riguardo a te (f.),,su di te; di te; riguardo a te (f.),semantic_review,docker_safe,,,,
BP0184,10342,Blue,6,192,עליו,עליו,at/on/about him,at/on/about him,needs_italian_review,su di lui; di lui; riguardo a lui,,su di lui; di lui; riguardo a lui,semantic_review,docker_safe,,,,
BP0185,10343,Blue,6,193,עליה,עליה,at/on/about her,at/on/about her,needs_italian_review,su di lei; di lei; riguardo a lei,,su di lei; di lei; riguardo a lei,semantic_review,docker_safe,,,,
BP0186,10344,Blue,6,194,עלינו,עלינו,at/on/about us,at/on/about us,needs_italian_review,su di noi; di noi; riguardo a noi,,su di noi; di noi; riguardo a noi,semantic_review,docker_safe,,,,
BP0187,10345,Blue,6,195,עליכם/ן,עליכם/ן,at/on/about you (m/f pl),at/on/about you (m/f pl),needs_italian_review,su di voi; di voi; riguardo a voi,,su di voi; di voi; riguardo a voi,semantic_review,docker_safe,,,,
BP0188,10346,Blue,6,196,עליהם/ן,עליהם/ן,at/on/about them (m/f),at/on/about them (m/f),needs_italian_review,su di loro; di loro; riguardo a loro,,su di loro; di loro; riguardo a loro,semantic_review,docker_safe,,,,
BP0189,10347,Blue,6,198,מיוחד / מיוחדת,מיוחד / מיוחדת,special (m/f),special (m/f),needs_italian_review,speciale; particolare,,speciale,,docker_safe,,,,
BP0190,10348,Blue,6,199,..להיבנס ל,..להיבנס ל,to enter... (infinitive),to enter... (infinitive),needs_italian_review,entrare; accedere,,entrare; accedere,semantic_review,docker_safe,,,,
BP0191,10349,Blue,6,200,"אכנס, תיכנס, תיכנסי, ייכנס","אכנס, תיכנס, תיכנסי, ייכנס",to enter (future),to enter (future),needs_italian_review,entrare; accedere,,entrare; accedere,semantic_review,docker_safe,,,,
BP0192,10350,Purple,12,1,"נחף, חפה","נחף, חפה",barefoot,barefoot,needs_italian_review,a piedi nudi; scalzo,,a piedi nudi,,docker_safe,,,,
BP0193,10351,Purple,12,2,לרתוח על,לרתוח על,to boil or be furious about...,to boil or be furious about...,needs_italian_review,ribollire; essere furioso per,,ribollire; essere furioso per,semantic_review,docker_safe,,,,
BP0194,10352,Purple,12,3,לבעור,לבעור,to burn or be on fire,to burn or be on fire,needs_italian_review,bruciare; essere in fiamme,,bruciare; essere in fiamme,semantic_review,docker_safe,,,,
BP0195,10353,Purple,12,4,"סואן, סואנים","סואן, סואנים",busy (street/city),busy (street/city),needs_italian_review,affollato; trafficato (strada/città),,affollato,,docker_safe,,,,
BP0196,10354,Purple,12,5,"צדפה, צדפות","צדפה, צדפות","sea shells, clams","sea shells, clams",needs_italian_review,conchiglie; vongole (f.),,conchiglie,,docker_safe,,,,
BP0197,10355,Purple,12,6,שפיץ,שפיץ,edge of something pointy,edge of something pointy,needs_italian_review,bordo tagliente; punta (f.),,bordo,,docker_safe,,,,
BP0198,10356,Purple,12,7,ללוות - מלווה,ללוות - מלווה,to accompany - accompanied,to accompany - accompanied,needs_italian_review,accompagnare; accompagnato,,accompagnare; accompagnato,semantic_review,docker_safe,,,,
BP0199,10357,Purple,12,8,"לפנות - מפונה, מפונה, מפונים","לפנות - מפונה, מפונה, מפונים",to evacuate and evacuees,to evacuate and evacuees,needs_italian_review,evacuare; sfollare,,evacuare; sfollare,semantic_review,docker_safe,,,,
BP0200,10358,Purple,12,9,שלל ה... ₪5 (= הרבה),שלל ה... ₪5 (= הרבה),an abundance of,an abundance of,needs_italian_review,un'abbondanza di; molti,,abbondanza,,docker_safe,,,,
BP0201,10359,Purple,12,10,לדרוך,לדרוך,to tread,to tread,needs_italian_review,calpestare; percorrere a piedi,,calpestare; percorrere a piedi,semantic_review,docker_safe,,,,
BP0202,10360,Purple,12,11,לצעוד,לצעוד,to step,to step,needs_italian_review,camminare; fare un passo,,camminare; fare un passo,semantic_review,docker_safe,,,,
BP0203,10361,Purple,12,12,"מוזר, משונה","מוזר, משונה",strange,strange,needs_italian_review,strano; insolito; bizzarro,,strano,,docker_safe,,,,
BP0204,10362,Purple,12,13,פומבי,פומבי,public,public,needs_italian_review,pubblico (m.); pubblico (agg.),,pubblico,,docker_safe,,,,
BP0205,10363,Purple,12,14,סנדלר,סנדלר,shoemaker,shoemaker,needs_italian_review,calzolaio (m.); ciabattino (m.),,calzolaio,,docker_safe,,,,
BP0206,10364,Purple,12,15,מנוסה,מנוסה,experienced,experienced,needs_italian_review,esperto; navigato; con esperienza,,esperto,,docker_safe,,,,
BP0207,10365,Purple,12,16,לבלום,לבלום,"to brake (in a car), block (sports)","to brake (in a car), block (sports)",needs_italian_review,frenare; bloccare; freno (m.),,frenare; bloccare; freno (m.),semantic_review,docker_safe,,,,
BP0208,10366,Purple,12,17,חספוס,חספוס,"bluntness, unevenness","bluntness, unevenness",needs_italian_review,scurrilità (f.); irregolarità (f.),,scurrilità (f.); irregolarità (f.),semantic_review,docker_safe,,,,
BP0209,10367,Purple,12,18,מחוספס,מחוספס,"rough, textured","rough, textured",needs_italian_review,ruvido; scabro; con texture,,ruvido,,docker_safe,,,,
BP0210,10368,Purple,12,19,"מגע, מגעים","מגע, מגעים","touch, contact also discussions","touch, contact also discussions",needs_italian_review,contatto (m.); tocco (m.); discussione (f.),,tocco,,docker_safe,,,,
BP0211,10369,Purple,12,20,לעטוף את,לעטוף את,to wrap,to wrap,needs_italian_review,avvolgere; incartare; fasciare,,avvolgere; incartare; fasciare,semantic_review,docker_safe,,,,
BP0212,10370,Purple,12,21,"מושבע, מושבעת","מושבע, מושבעת","sworn, loyal","sworn, loyal",needs_italian_review,giurato; fedele; leale,,giurato,,docker_safe,,,,
BP0213,10371,Purple,12,22,חבר מושבעים,חבר מושבעים,jury,jury,needs_italian_review,giuria (f.); tribunale popolare,,giuria,,docker_safe,,,,
BP0214,10372,Purple,12,23,₪ לחלוץ נעליים,₪ לחלוץ נעליים,to take off shoes,to take off shoes,needs_italian_review,togliersi le scarpe; calzarsi,,togliersi le scarpe; calzarsi,semantic_review,docker_safe,,,,
BP0215,10373,Purple,12,24,"גירוי, גירויים","גירוי, גירויים","stimulus, irritation","stimulus, irritation",needs_italian_review,stimolo (m.); irritazione (f.),,stimolo,,docker_safe,,,,
BP0216,10374,Purple,12,25,"חנפן, חנפנית","חנפן, חנפנית","flatterer, teacher's pet","flatterer, teacher's pet",needs_italian_review,adulatore (m.); favorito (m.) dell'insegnante,,adulatore,,docker_safe,,,,
BP0217,10375,Purple,12,26,חלוק,חלוק,"Givided, split","Givided, split",needs_italian_review,diviso; spaccato,,dividere,,docker_safe,,,,
BP0218,10376,Purple,12,27,"חד משמעי, חד משמעית","חד משמעי, חד משמעית","conclusive, unambiguous","conclusive, unambiguous",needs_italian_review,conclusivo; univoco; definitivo,,conclusivo,,docker_safe,,,,
BP0219,10377,Purple,12,28,!חד משמעית,!חד משמעית,"totally, wna?","totally, wna?",needs_italian_review,totalmente; completamente; veramente,,totalmente; completamente; veramente,semantic_review,docker_safe,,,,
BP0220,10378,Purple,12,29,להגביר את,להגביר את,to amplify or intensify,to amplify or intensify,needs_italian_review,amplificare; intensificare,,amplificare; intensificare,semantic_review,docker_safe,,,,
BP0221,10379,Purple,12,30,נגיעה,נגיעה,a pinch or dash,a pinch or dash,needs_italian_review,un pizzico / un goccio,,pizzico,,docker_safe,,,,
BP0222,10380,Purple,12,31,טור,טור,column,column,needs_italian_review,colonna (f.); rubrica (f.),,colonna,,docker_safe,,,,
BP0223,10381,Purple,12,32,להיסחף,להיסחף,to be carried or swept away,to be carried or swept away,needs_italian_review,essere trasportato; essere travolto,,modo,,docker_safe,,,,
BP0224,10382,Purple,12,33,לסחוף את,לסחוף את,"to carry away, be charismatic","to carry away, be charismatic",needs_italian_review,trascinare; essere carismatico,,modo,,docker_safe,,,,
BP0225,10383,Purple,12,34,...להדביק את... ב,...להדביק את... ב,"to glue, paste, stick on, infect someone","to glue, paste, stick on, infect someone",needs_italian_review,incollare; attaccare; infettare qualcuno,,infettare,,docker_safe,,,,
BP0226,10384,Purple,12,35,"""אין לי טענות""","""אין לי טענות""",have no complaints,have no complaints,needs_italian_review,non avere lamentele; accontentarsi,,non avere lamentele; accontentarsi,semantic_review,docker_safe,,,,
BP0227,10385,Purple,12,36,...אל... בטענות/-לבוא ל,...אל... בטענות/-לבוא ל,to run up to someone to complain,to run up to someone to complain,needs_italian_review,correre da qualcuno per lamentarsi,,qualcuno,,docker_safe,,,,
BP0228,10386,Purple,12,37,"...מסומם, מסוממת, מסוממים","...מסומם, מסוממת, מסוממים",high on drugs or life,high on drugs or life,needs_italian_review,fatto; ebbro di vita,,vita,,docker_safe,,,,
BP0229,10387,Purple,12,38,"₪ עז, עזה","₪ עז, עזה","strong, intense","strong, intense",needs_italian_review,forte; intenso; potente,,forte,,docker_safe,,,,
BP0230,10388,Purple,12,39,נדנדה,נדנדה,"swing, seesaw","swing, seesaw",needs_italian_review,altalena (f.); oscillare,,altalena,,docker_safe,,,,
BP0231,10389,Purple,12,40,לטלטל את,לטלטל את,"to rock something, shock, rattle","to rock something, shock, rattle",needs_italian_review,scuotere; sorprendere; sconvolgere,,scuotere; sorprendere; sconvolgere,semantic_review,docker_safe,,,,
BP0232,10390,Purple,12,41,"מטלטל, מטלטלת","מטלטל, מטלטלת","shocking, rattling","shocking, rattling",needs_italian_review,scioccante; sconcertante; inquietante,,scioccante; sconcertante; inquietante,semantic_review,docker_safe,,,,
BP0233,10391,Purple,12,42,"עילאי, עילאית","עילאי, עילאית","transcendent, supreme, sublime","transcendent, supreme, sublime",needs_italian_review,trascendente; supremo; sublime,,trascendente,,docker_safe,,,,
BP0234,10392,Purple,12,43,...מהול ב,...מהול ב,laced or mixed with,laced or mixed with,needs_italian_review,condito con; mescolato con,,condito con; mescolato con,semantic_review,docker_safe,,,,
BP0235,10393,Purple,12,44,לדלל את,לדלל את,to dilute,to dilute,needs_italian_review,diluire; indebolire,,diluire; indebolire,semantic_review,docker_safe,,,,
BP0236,10394,Purple,12,45,תפנית,תפנית,twist or turning point,twist or turning point,needs_italian_review,torsione (f.); colpo di scena; punto di svolta,,torsione,,docker_safe,,,,
BP0237,10395,Purple,12,46,עלילה,עלילה,plot,plot,needs_italian_review,trama (f.); complotto (m.),,trama,,docker_safe,,,,
BP0238,10396,Purple,12,47,להתרסק,להתרסק,"to crush, to get smashed","to crush, to get smashed",needs_italian_review,schiacciare; smaccare; stritolare,,schiacciare; smaccare; stritolare,semantic_review,docker_safe,,,,
BP0239,10397,Purple,12,48,"מרוסק, מרוסקת","מרוסק, מרוסקת","crushed, smashed, tired","crushed, smashed, tired",needs_italian_review,schiacciato; distrutto; stanco,,schiacciato,,docker_safe,,,,
BP0240,10398,Purple,12,49,לרסק את,לרסק את,to crush,to crush,needs_italian_review,schiacciare; distruggere,,schiacciare; distruggere,semantic_review,docker_safe,,,,
BP0241,10399,Purple,12,50,"משותק, משותקת","משותק, משותקת",paralyzed (also emotionally),paralyzed (also emotionally),needs_italian_review,paralizzato; bloccato emotivamente,,paralizzato,,docker_safe,,,,
BP0242,10400,Purple,12,51,...לסלק את,...לסלק את,"to kick someone out, banish, eliminate","to kick someone out, banish, eliminate",needs_italian_review,espellere qualcuno; bandire; eliminare,,calcio,,docker_safe,,,,
BP0243,10401,Purple,12,52,להכיל את,להכיל את,"to contain (emotionally), to accept, to be non judgemental","to contain (emotionally), to accept, to be non judgemental",needs_italian_review,contenere; accettare; non giudicare,,contenere; accettare; non giudicare,semantic_review,docker_safe,,,,
BP0244,10402,Purple,12,53,...להתעלם מ,...להתעלם מ,to ignore (someone/something),to ignore (someone/something),needs_italian_review,ignorare; non considerare,,qualcuno,,docker_safe,,,,
BP0245,10403,Purple,12,54,הארה,הארה,"awakening, epiphany, enlightenment","awakening, epiphany, enlightenment",needs_italian_review,risveglio (m.); epifania; illuminazione (f.),,risveglio,,docker_safe,,,,
BP0246,10404,Purple,12,55,לקוי-ראייה,לקוי-ראייה,visually impaired,visually impaired,needs_italian_review,ipovedente; non vedente,,ipovedente,,docker_safe,,,,
BP0247,10405,Purple,12,56,ליקוי ₪5 (=תקלה),ליקוי ₪5 (=תקלה),"impairment, fault","impairment, fault",needs_italian_review,menomazione (f.); difetto (m.),,menomazione,,docker_safe,,,,
BP0248,10406,Purple,12,57,בעיות קשב וריכוז,בעיות קשב וריכוז,ADHD,ADHD,needs_italian_review,ADHD (f.),,ADHD,,docker_safe,,,,
BP0249,10407,Purple,12,58,לסגור מעגל,לסגור מעגל,"to create closure, to settle the situation","to create closure, to settle the situation",needs_italian_review,creare chiusura; sistemare la situazione,,chiusura,,docker_safe,,,,
BP0250,10408,Purple,12,59,סגירת-מעגל,סגירת-מעגל,closure,closure,needs_italian_review,chiusura (f.); conclusione (f.),,chiusura,,docker_safe,,,,
BP0251,10409,Purple,12,60,"תובנה, תובנות","תובנה, תובנות",insight,insight,needs_italian_review,intuizione (f.); comprensione profonda,,intuizione,,docker_safe,,,,
BP0252,10410,Purple,12,61,לרכוש ₪5 את,לרכוש ₪5 את,to acquire or purchase,to acquire or purchase,needs_italian_review,acquisire; comprare; acquistare,,acquisire; comprare; acquistare,semantic_review,docker_safe,,,,
BP0253,10411,Purple,12,62,...לרשת את,...לרשת את,to inherit,to inherit,needs_italian_review,ereditare; ricevere in eredità,,ereditare; ricevere in eredità,semantic_review,docker_safe,,,,
BP0254,10412,Purple,12,63,ירושה,ירושה,inheritance,inheritance,needs_italian_review,eredità (f.); lascito (m.),,eredità,,docker_safe,,,,
BP0255,10413,Purple,12,64,"""כל מקרה לגופו""","""כל מקרה לגופו""","every situation is it's own, case by case basis","every situation is it's own, case by case basis",needs_italian_review,ogni situazione è unica; caso per caso,,ogni situazione è unica; caso per caso,semantic_review,docker_safe,,,,
BP0256,10414,Purple,12,65,"נהיה, נהיית","נהיה, נהיית",becoming,becoming,needs_italian_review,diventare; appropriato,,attraente,,docker_safe,,,,
BP0257,10415,Purple,12,66,"הוא נהיה, היא נהייתה","הוא נהיה, היא נהייתה",he/she became,he/she became,needs_italian_review,lui/lei è diventato,,lui/ lei è diventato,semantic_review,docker_safe,,,,
BP0258,10416,Purple,12,67,להשפיל את,להשפיל את,to humiliate,to humiliate,needs_italian_review,umiliare; mortificare,,,missing_from_docker_final,docker_safe,,,,
BP0259,10417,Purple,12,68,משפיל,משפיל,humiliating,humiliating,needs_italian_review,umiliante; degradante,,,missing_from_docker_final,docker_safe,,,,
BP0260,10418,Purple,12,69,...לרמוז ל,...לרמוז ל,to hint,to hint,needs_italian_review,alludere; far capire indirettamente,,alludere; far capire indirettamente,semantic_review,docker_safe,,,,
BP0261,10419,Purple,12,70,לנדנד את,לנדנד את,to push on a swing,to push on a swing,needs_italian_review,spingere un'altalena,,altalena,,docker_safe,,,,
BP0262,10420,Purple,12,71,...לנדנד ל,...לנדנד ל,"to nag, bother, complain","to nag, bother, complain",needs_italian_review,lamentarsi; infastidire; molestare,,lamentarsi; infastidire; molestare,semantic_review,docker_safe,,,,
BP0263,10421,Purple,12,72,להתנדנד,להתנדנד,to swing,to swing,needs_italian_review,oscillare; dondolare,,altalena,,docker_safe,,,,
BP0264,10422,Purple,12,73,להוביל,להוביל,to lead the way or lead in a competition,to lead the way or lead in a competition,needs_italian_review,aprire la strada; guidare una competizione,,modo,,docker_safe,,,,
BP0265,10423,Purple,12,74,להוביל את,להוביל את,to transport,to transport,needs_italian_review,trasportare; portare,,trasportare; portare,semantic_review,docker_safe,,,,
BP0266,10424,Purple,12,75,הובלה,הובלה,"act of moving, transportation","act of moving, transportation",needs_italian_review,atto del movimento; trasporto (m.),,trasporto,,docker_safe,,,,
BP0267,10425,Purple,12,76,תקרית,תקרית,incident,incident,needs_italian_review,incidente (m.); episodio (m.),,incidente,,docker_safe,,,,
BP0268,10426,Purple,12,77,תקרית בינלאומית,תקרית בינלאומית,international incident,international incident,needs_italian_review,incidente internazionale,,incidente,,docker_safe,,,,
BP0269,10427,Purple,12,78,"בולט, בולטת","בולט, בולטת","stands out, prominent","stands out, prominent",needs_italian_review,spicca; prominente; evidente,,spicca; prominente; evidente,semantic_review,docker_safe,,,,
BP0270,10428,Purple,12,79,חצ'קון (פצעון),חצ'קון (פצעון),pimple,pimple,needs_italian_review,brufolo (m.); foruncolo (m.),,brufolo,,docker_safe,,,,
BP0271,10429,Purple,12,80,להפיץ את,להפיץ את,to spread a rumor/news also to diffuse,to spread a rumor/news also to diffuse,needs_italian_review,diffondere una voce; divulgare notizie,,voce,,docker_safe,,,,
BP0272,10430,Purple,12,81,להרים ל... (מישהו),להרים ל... (מישהו),"to build up someone, compliment","to build up someone, compliment",needs_italian_review,costruire su qualcuno; complimentare,,qualcuno,,docker_safe,,,,
BP0273,10431,Purple,12,82,= דאז,= דאז,back then,back then,needs_italian_review,allora; in quel periodo,,dietro,,docker_safe,,,,
BP0274,10432,Purple,12,83,מסמר הערב,מסמר הערב,life of the party,life of the party,needs_italian_review,anima della festa; persona divertente,,vita,,docker_safe,,,,
BP0275,10433,Purple,12,84,"צלול, צלולה","צלול, צלולה","clear, lucid","clear, lucid",needs_italian_review,chiaro; lucido; perspicace,,chiaro,,docker_safe,,,,
BP0276,10434,Purple,12,85,...לצלול ל,...לצלול ל,to dive,to dive,needs_italian_review,tuffarsi; immergersi,,tuffarsi; immergersi,semantic_review,docker_safe,,,,
BP0277,10435,Purple,12,86,עכור,עכור,"murky, gloomy","murky, gloomy",needs_italian_review,torbido; cupo; lugubre,,torbido,,docker_safe,,,,
BP0278,10436,Purple,12,87,לאבחן את,לאבחן את,to diagnose,to diagnose,needs_italian_review,diagnosticare; identificare,,diagnosticare; identificare,semantic_review,docker_safe,,,,
BP0279,10437,Purple,12,88,מאובחן,מאובחן,diagnosed,diagnosed,needs_italian_review,diagnosticato; riconosciuto,,diagnosticato,,docker_safe,,,,
BP0280,10438,Purple,12,89,לזעזע את,לזעזע את,to shock or appall,to shock or appall,needs_italian_review,shockare; scandalizz are; sorprendere,,shockare; scandalizz are; sorprendere,semantic_review,docker_safe,,,,
BP0281,10439,Purple,12,90,"מזועזע, מזועזעת","מזועזע, מזועזעת",shocked or appalled,shocked or appalled,needs_italian_review,scioccato; sorpreso; scandolizzato,,scioccato; sorpreso; scandolizzato,semantic_review,docker_safe,,,,
BP0282,10440,Purple,12,91,...להזדעזע מ,...להזדעזע מ,to be shocked or appalled,to be shocked or appalled,needs_italian_review,essere scioccato; rimanere scioccato,,essere scioccato; rimanere scioccato,semantic_review,docker_safe,,,,
BP0283,10441,Purple,12,92,פדיחה,פדיחה,embarrassing situation,embarrassing situation,needs_italian_review,situazione imbarazzante,,,missing_from_docker_final,docker_safe,,,,
BP0284,10442,Purple,12,93,...להתפדח מ,...להתפדח מ,to be embarrassed because of a nn't9,to be embarrassed because of a nn't9,needs_italian_review,essere imbarazzato a causa di,,essere imbarazzato a causa di,semantic_review,docker_safe,,,,
BP0285,10443,Purple,12,94,"מפדח, מפדחת","מפדח, מפדחת",embarrassing,embarrassing,needs_italian_review,imbarazzante; sconveniente,,imbarazzante,,docker_safe,,,,
BP0286,10444,Purple,12,95,לחצות את,לחצות את,to cut,to cut,needs_italian_review,tagliare; recidere,,tagliare; recidere,semantic_review,docker_safe,,,,
BP0287,10445,Purple,12,96,...להיחצות ל,...להיחצות ל,to be split or cut (also equally),to be split or cut (also equally),needs_italian_review,essere diviso; essere tagliato,,dividere,,docker_safe,,,,
BP0288,10446,Purple,12,97,"ראוי, ראויה","ראוי, ראויה","worthy, fitting, appropriate","worthy, fitting, appropriate",needs_italian_review,degno; idoneo; appropriato,,degno,,docker_safe,,,,
BP0289,10447,Purple,12,98,...להזדהות עם,...להזדהות עם,to identify with or relate to,to identify with or relate to,needs_italian_review,identificarsi con; riconoscersi in,,identificarsi con; riconoscersi in,semantic_review,docker_safe,,,,
BP0290,10448,Purple,12,99,מעורר הזדהות,מעורר הזדהות,relatable,relatable,needs_italian_review,relazionabile; con cui identificarsi,,relazionabile,,docker_safe,,,,
BP0291,10449,Purple,12,100,הכללה,הכללה,generalization,generalization,needs_italian_review,generalizzazione (f.); affermazione generica,,generalizzazione,,docker_safe,,,,
BP0292,10450,Purple,12,101,מגווון,מגווון,Varied,Varied,needs_italian_review,vario; diversificato; variegato,,vario,,docker_safe,,,,
BP0293,10451,Purple,12,102,לעוף על,לעוף על,to be crazy about,to be crazy about,needs_italian_review,essere pazzo di; impazzare per,,,missing_from_docker_final,docker_safe,,,,
BP0294,10452,Purple,12,104,מגיש חדשות,מגיש חדשות,newscaster,newscaster,needs_italian_review,giornalista televisivo; annunciatore (m.),,giornalista,,docker_safe,,,,
BP0295,10453,Purple,12,105,לעומק,לעומק,deeply,deeply,needs_italian_review,profondamente; intensamente,,profondamente,,docker_safe,,,,
BP0296,10454,Purple,12,106,לזכות ב,לזכות ב,to win a (prize),to win a (prize),needs_italian_review,vincere un premio; aggiudicarsi,,,missing_from_docker_final,docker_safe,,,,
BP0297,10455,Purple,12,107,לזכות ל,לזכות ל,To have the privilege,To have the privilege,needs_italian_review,avere il privilegio; avere l'onore,,privilegio,,docker_safe,,,,
BP0298,10456,Purple,12,108,להצטיין,להצטיין,to excel,to excel,needs_italian_review,eccellere; superare,,eccellere; superare,semantic_review,docker_safe,,,,
BP0299,10457,Purple,12,109,ץ-ל א לזגזג בין,ץ-ל א לזגזג בין,"To move between many projects, to zigzag","To move between many projects, to zigzag",needs_italian_review,saltare da un progetto all'altro; zigzagare,,zigzagare,,docker_safe,,,,
BP0300,10458,Purple,12,110,להתנשא על,להתנשא על,to patronize,to patronize,needs_italian_review,condiscendere; trattare con aria di superiorità,,condiscendere; trattare con aria di superiorità,semantic_review,docker_safe,,,,
BP0301,10459,Purple,12,111,לפנות,לפנות,to turn,to turn,needs_italian_review,girare; voltare; trasformare,,,missing_from_docker_final,docker_safe,,,,
BP0302,10460,Purple,12,112,באיזשהו אופן,באיזשהו אופן,In some way,In some way,needs_italian_review,in qualche modo; in un certo senso,,modo,,docker_safe,,,,
BP0303,10461,Purple,12,113,להסיח את הדעת,להסיח את הדעת,to distract,to distract,needs_italian_review,distrarre; deviare,,distrarre; deviare,semantic_review,docker_safe,,,,
BP0304,10462,Purple,12,114,קורע,קורע,hilarious,hilarious,needs_italian_review,esilarante; divertentissimo,,esilarante,,docker_safe,,,,
BP0305,10463,Purple,12,115,לחתוך מ,לחתוך מ,"To quit, to leave","To quit, to leave",needs_italian_review,smettere; andarsene; lasciare,,smettere,,docker_safe,,,,
BP0306,10464,Purple,12,116,לפטפט עם,לפטפט עם,to chat,to chat,needs_italian_review,chiacchierare; conversare,,chiacchierare; conversare,semantic_review,docker_safe,,,,
BP0307,10465,Purple,12,117,₪ קלות,₪ קלות,A little,A little,needs_italian_review,un po'; poco; un tantino,,poco,,docker_safe,,,,
